,Invoicedate,Distributor,GroupId,Type,Provincename,MatNo,MaterialName,New_Volume(L),Points
0,11/5/2023,D,ERW_DBG72020110082,Reseller,Songkhla,142212,M10W-20CTN2X4L:TH,4064,10
1,19/5/2023,D,ERW_DBG72020110082,Reseller,Songkhla,142212,M10W-20CTN2X4L:TH,3184,10
2,11/5/2023,D,ERW_DBG72020110082,Reseller,Songkhla,142212,M10W-20CTN2X4L:TH,196,10
3,20/2/2023,A,ERW_AMBP2020110060,Retails,Bangkok,142212,M10W-20CTN2X4L:TH,768,10
4,25/1/2023,A,ERW_AMBP2020110392,Retails,Bangkok,142212,M10W-20CTN2X4L:TH,5376,10
5,16/5/2023,A,ERW_AMBP2020110142,Reseller,Saraburi,142212,M10W-20CTN2X4L:TH,204,10
6,21/3/2023,A,ERW_AMBP2020110131,Reseller,LopBuri,142212,M10W-20CTN2X4L:TH,7536,10
7,13/3/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,142212,M10W-20CTN2X4L:TH,4368,10
8,21/3/2023,A,ERW_AMBP2020110392,Retails,Bangkok,142212,M10W-20CTN2X4L:TH,2624,10
9,23/9/2023,C,ERW_C08P2020090012,Reseller,KamphaengPhet,143306,M10W-20CTN4X4LT:TH,2736,10
10,15/8/2023,C,ERW_C08P2020090119,Reseller,Uttaradit,140521,"M10W-40(SN),4x4LTCTN",7248,10
11,10/8/2023,C,ERW_C08P2020090068,Retails,Phitsanulok,140521,"M10W-40(SN),4x4LTCTN",1696,10
12,7/3/2023,C,ERW_C08P2020090119,Reseller,Uttaradit,140521,"M10W-40(SN),4x4LTCTN",4176,10
13,23/5/2023,C,ERW_C08P2020090119,Reseller,Uttaradit,140521,"M10W-40(SN),4x4LTCTN",1488,10
14,2/3/2023,C,ERW_C08P2020090138,Retails,Lamphun,140521,"M10W-40(SN),4x4LTCTN",3296,10
15,2/3/2023,C,ERW_C08P2020090145,Retails,ChiangMai,140521,"M10W-40(SN),4x4LTCTN",3664,10
16,4/9/2023,C,ERW_C08P2020090148,Retails,ChiangMai,140521,"M10W-40(SN),4x4LTCTN",3936,10
17,24/2/2023,C,ERW_C08P2020090127,Reseller,Phrae,140521,"M10W-40(SN),4x4LTCTN",1552,10
18,29/6/2023,C,ERW_C08P2020090216,Retails,NakhonSawan,140521,"M10W-40(SN),4x4LTCTN",490,10
19,2/3/2023,C,ERW_C08P2020090056,Retails,NakhonSawan,140521,"M10W-40(SN),4x4LTCTN",50,10
20,11/3/2023,C,ERW_C08P2020090135,Retails,Lampang,140521,"M10W-40(SN),4x4LTCTN",268,10
21,30/1/2023,C,ERW_C08P2020090176,Retails,ChiangRai,140521,"M10W-40(SN),4x4LTCTN",172,10
22,20/1/2023,A,ERW_AMBP2020110082,Retails,Bangkok,144462,M10W-40(SP)CTN12X1L:SG,6320,10
23,27/1/2023,A,ERW_AMBP2020110030,Retails,Bangkok,144462,M10W-40(SP)CTN12X1L:SG,1416,10
24,18/1/2023,A,ERW_AMBP2020110030,Retails,Bangkok,144462,M10W-40(SP)CTN12X1L:SG,4752,10
25,11/1/2023,A,ERW_AMBP2020110030,Retails,Bangkok,144462,M10W-40(SP)CTN12X1L:SG,4116,10
26,6/1/2023,A,ERW_AMBP2020110060,Retails,Bangkok,144462,M10W-40(SP)CTN12X1L:SG,60,10
27,25/1/2023,A,ERW_AMBP2020110079,Retails,Bangkok,144462,M10W-40(SP)CTN12X1L:SG,1656,10
28,10/1/2023,A,ERW_AMBP2020110131,Reseller,LopBuri,144462,M10W-40(SP)CTN12X1L:SG,72,10
29,18/1/2023,A,ERW_AMBP2020110402,Retails,Bangkok,144462,M10W-40(SP)CTN12X1L:SG,5844,10
30,27/1/2023,A,ERW_AI8N2021070010,Retails,Bangkok,144463,M10W-40(SP)CTN4X4L:SG,3824,10
31,9/1/2023,A,ERW_AMBP2020110030,Retails,Bangkok,144463,M10W-40(SP)CTN4X4L:SG,3648,10
32,11/1/2023,A,ERW_AMBP2020110124,Retails,PhraNakhonSiAyutthaya,144463,M10W-40(SP)CTN4X4L:SG,100,10
33,17/1/2023,A,ERW_AMBP2020110380,Retails,Bangkok,144463,M10W-40(SP)CTN4X4L:SG,4048,10
34,6/1/2023,A,ERW_AMBP2020110060,Retails,Bangkok,144463,M10W-40(SP)CTN4X4L:SG,5200,10
35,18/1/2023,A,ERW_AMBP2020110402,Retails,Bangkok,144463,M10W-40(SP)CTN4X4L:SG,6000,10
36,26/1/2023,A,ERW_AU5N2022030006,Retails,Bangkok,144463,M10W-40(SP)CTN4X4L:SG,5696,10
37,15/3/2023,A,ERW_AMBP2020110082,Retails,Bangkok,140523,M10W-40(SP)SG12X1L/CAR,4140,10
38,15/5/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,140523,M10W-40(SP)SG12X1L/CAR,8280,10
39,26/7/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,140523,M10W-40(SP)SG12X1L/CAR,6120,10
40,20/7/2023,A,ERW_AMBP2020110030,Retails,Bangkok,140523,M10W-40(SP)SG12X1L/CAR,4632,10
41,18/4/2023,A,ERW_AMBP2020110030,Retails,Bangkok,140523,M10W-40(SP)SG12X1L/CAR,3936,10
42,21/7/2023,A,ERW_AMBP2020110147,Retails,ChonBuri,140523,M10W-40(SP)SG12X1L/CAR,4752,10
43,9/5/2023,A,ERW_AMBP2020110385,Retails,Bangkok,140523,M10W-40(SP)SG12X1L/CAR,2148,10
44,19/7/2023,A,ERW_AI8N2021070010,Retails,Bangkok,140523,M10W-40(SP)SG12X1L/CAR,648,10
45,24/4/2023,A,ERW_AI8N2021070010,Retails,Bangkok,140523,M10W-40(SP)SG12X1L/CAR,3408,10
46,26/6/2023,A,ERW_AMBP2020110001,Retails,Bangkok,140523,M10W-40(SP)SG12X1L/CAR,2340,10
47,13/3/2023,A,ERW_AMBP2020110030,Retails,Bangkok,140523,M10W-40(SP)SG12X1L/CAR,5964,10
48,18/5/2023,A,ERW_AMBP2020110030,Retails,Bangkok,140523,M10W-40(SP)SG12X1L/CAR,912,10
